date,Industry,NumberOfEmployee,high,open,low,close,volume,EmployeeIncreasePercentage,oi
12/1/2007,Accomodation and Food Services,162.1,1491,1.42,40.6,1.5,7.4,0.047834518,0
12/1/2007,Information and Communications,79.4,5325,2.52,41.8,0.5,1,0.012755102,0
12/1/2007,Financial and Insurance Services,149.1,6607,3.58,42,0.7,2.7,0.018442623,0
12/1/2007,Real Estate Services,61.4,3614,1.75,44.1,1.3,1.7,0.028475712,0
12/1/2007,Professional Services,150.5,5139,2.51,44.1,2.3,5.2,0.035788025,0
12/1/2007,Administrative and Support Services,124.1,2496,1.06,48.8,5.2,2.9,0.023927393,0
12/1/2007,Community & Personal Services,554.1,4906,2.39,41.9,0.4,6.7,0.012239678,0
3/1/2008,Manufacturing,578.6,4270,2.39,50.5,7.5,11.8,0.020818631,0
3/1/2008,Construction,310.4,3129,1.26,52.2,7.4,14.5,0.049003042,0
3/1/2008,Wholesale & Retail Trade,389.4,3610,2.14,43.6,2,4.5,0.011691348,0
3/1/2008,Transportation and Storage,189.7,4063,3.12,45.9,3,5.7,0.030978261,0
3/1/2008,Accomodation and Food Services,165.5,1654,1.57,40.1,1.2,3.4,0.020974707,0
3/1/2008,Information and Communications,81.1,5326,2.51,41.8,0.5,1.7,0.021410579,0
3/1/2008,Financial and Insurance Services,152.3,8959,3.65,41.8,0.4,3.2,0.021462106,0
3/1/2008,Real Estate Services,64.2,4160,1.71,44,1.2,2.8,0.045602606,0
3/1/2008,Professional Services,156.6,5048,2.35,44.4,2.6,6.1,0.040531561,0
3/1/2008,Administrative and Support Services,128.5,2518,1.12,48.8,5.1,4.4,0.035455278,0
3/1/2008,Community & Personal Services,568.9,4510,2.3,41.7,0.4,14.8,0.02670998,0
6/1/2008,Manufacturing,588.7,3543,2.39,50.4,7.2,10.1,0.017455928,0
6/1/2008,Construction,332.8,2643,1.26,52.5,7.7,22.4,0.072164948,0
6/1/2008,Wholesale & Retail Trade,394.1,3223,2.14,43.7,2.1,4.7,0.012069851,0
6/1/2008,Transportation and Storage,194.4,3573,3.12,46.1,3.3,4.7,0.024775962,0
6/1/2008,Accomodation and Food Services,168.3,1416,1.57,40.8,1.3,2.8,0.016918429,0
6/1/2008,Information and Communications,82.5,5300,2.51,41.8,0.4,1.4,0.017262639,0
6/1/2008,Financial and Insurance Services,156.9,6602,3.65,42.1,0.7,4.6,0.030203546,0
6/1/2008,Real Estate Services,66.1,3153,1.71,44.1,1.4,1.9,0.029595016,0
6/1/2008,Professional Services,162.3,4757,2.35,44.3,2.5,5.7,0.036398467,0
6/1/2008,Administrative and Support Services,133.8,2367,1.12,49,5.6,5.3,0.041245136,0
6/1/2008,Community & Personal Services,576,3822,2.3,41.8,0.4,7.1,0.012480225,0
9/1/2008,Manufacturing,593.3,3678,2.39,50.6,7.3,4.6,0.007813827,0
9/1/2008,Construction,349.2,2690,1.26,52.7,7.9,16.4,0.049278846,0
9/1/2008,Wholesale & Retail Trade,397.4,3204,2.14,43.8,2.1,3.3,0.008373509,0
9/1/2008,Transportation and Storage,198.1,4178,3.12,46.1,3.2,3.7,0.019032922,0
9/1/2008,Accomodation and Food Services,172.5,1424,1.57,42.3,1.3,4.2,0.024955437,0
9/1/2008,Information and Communications,84.5,5037,2.51,41.6,0.4,2,0.024242424,0
9/1/2008,Financial and Insurance Services,160.3,6222,3.65,42.3,0.7,3.4,0.021669853,0
9/1/2008,Real Estate Services,67.4,3100,1.71,44.3,1.5,1.3,0.019667171,0
9/1/2008,Professional Services,167.1,4776,2.35,43.7,2.2,4.8,0.029574861,0
9/1/2008,Administrative and Support Services,136.3,2273,1.12,48,4.7,2.5,0.018684604,0
9/1/2008,Community & Personal Services,585.2,3671,2.3,41.9,0.4,9.2,0.015972222,0
12/1/2008,Manufacturing,586.3,4326,2.39,49,5.9,-7,-0.011798416,0
12/1/2008,Construction,360,2983,1.26,52.3,7.6,10.8,0.030927835,0
12/1/2008,Wholesale & Retail Trade,401.3,3728,2.14,43.8,1.9,3.9,0.00981379,0
12/1/2008,Transportation and Storage,197.7,4140,3.12,45.7,2.8,-0.4,-0.002019182,0
12/1/2008,Accomodation and Food Services,179,1520,1.57,41.8,1.2,6.5,0.037681159,0
12/1/2008,Information and Communications,85.1,5551,2.51,41.3,0.4,0.6,0.007100592,0
12/1/2008,Financial and Insurance Services,160.6,6830,3.65,42.2,0.7,0.3,0.001871491,0
12/1/2008,Real Estate Services,68.4,3637,1.71,44.2,1.5,1,0.014836795,0
12/1/2008,Professional Services,168.6,5435,2.35,43.4,1.8,1.5,0.008976661,0
12/1/2008,Administrative and Support Services,135.1,2514,1.12,47.4,4.2,-1.2,-0.008804109,0
12/1/2008,Community & Personal Services,590.2,4668,2.3,41.8,0.4,5,0.008544087,0
3/1/2009,Manufacturing,564.1,4322,2.33,48.3,5.1,-22.2,-0.037864574,0
3/1/2009,Construction,368.3,3210,1.28,52.1,7.4,8.3,0.023055556,0
3/1/2009,Wholesale & Retail Trade,400.5,3590,1.71,43.6,1.6,-0.8,-0.001993521,0
3/1/2009,Transportation and Storage,196.2,4239,2.51,45,2.2,-1.5,-0.007587253,0
3/1/2009,Accomodation and Food Services,176.3,1586,1.11,40.9,1,-2.7,-0.015083799,0
3/1/2009,Information and Communications,85.9,5264,2.26,41.5,0.2,0.8,0.009400705,0
3/1/2009,Financial and Insurance Services,158.7,8198,2.98,42,0.6,-1.9,-0.011830635,0
3/1/2009,Real Estate Services,69.6,3782,1.62,44.2,1.7,1.2,0.01754386,0
3/1/2009,Professional Services,169.7,5030,1.79,43.4,1.8,1.1,0.006524318,0
3/1/2009,Administrative and Support Services,135,2447,1.02,47.5,4.3,-0.1,-0.000740192,0
3/1/2009,Community & Personal Services,601.7,3958,2.03,41.8,0.3,11.5,0.01948492,0
6/1/2009,Manufacturing,548.2,3546,2.33,48.9,5.7,-15.9,-0.028186492,0
6/1/2009,Construction,373,2764,1.28,52.1,7.4,4.7,0.012761336,0
6/1/2009,Wholesale & Retail Trade,399.7,3206,1.71,43.9,2,-0.8,-0.001997503,0
6/1/2009,Transportation and Storage,194.3,3609,2.51,45.2,2.4,-1.9,-0.009683996,0
6/1/2009,Accomodation and Food Services,173.8,1386,1.11,41.6,1.3,-2.5,-0.014180374,0
6/1/2009,Information and Communications,85.9,5291,2.26,41.4,0.4,0,0,0
6/1/2009,Financial and Insurance Services,157.9,6410,2.98,42.1,0.6,-0.8,-0.005040958,0
6/1/2009,Real Estate Services,70.8,3037,1.62,44.1,1.7,1.2,0.017241379,0
6/1/2009,Professional Services,169.6,4698,1.79,43.5,1.8,-0.1,-0.000589275,0
6/1/2009,Administrative and Support Services,136.7,2280,1.02,47.5,4.2,1.7,0.012592593,0
6/1/2009,Community & Personal Services,608.8,3554,2.03,41.8,0.3,7.1,0.0117999,0
9/1/2009,Manufacturing,541.8,3585,2.33,49.7,6.5,-6.4,-0.011674571,0
9/1/2009,Construction,380.5,2765,1.28,52.3,7.5,7.5,0.020107239,0
9/1/2009,Wholesale & Retail Trade,400.9,3153,1.71,43.5,1.7,1.2,0.003002252,0
9/1/2009,Transportation and Storage,193.6,3714,2.51,45.3,2.5,-0.7,-0.003602676,0
9/1/2009,Accomodation and Food Services,174.1,1377,1.11,41.5,1.2,0.3,0.001726122,0
9/1/2009,Information and Communications,86.7,4998,2.26,41.7,0.5,0.8,0.009313155,0
9/1/2009,Financial and Insurance Services,160,6147,2.98,41.8,0.6,2.1,0.013299557,0
9/1/2009,Real Estate Services,71.9,2858,1.62,44.3,1.6,1.1,0.015536723,0
9/1/2009,Professional Services,170.9,4675,1.79,43.6,1.9,1.3,0.007665094,0
9/1/2009,Administrative and Support Services,136.7,2232,1.02,48.8,5.6,0,0,0
9/1/2009,Community & Personal Services,615.2,3529,2.03,41.9,0.4,6.4,0.010512484,0
12/1/2009,Manufacturing,542.6,4409,2.33,50.4,7.1,0.8,0.00147656,0
12/1/2009,Construction,385,3053,1.28,52.3,7.4,4.5,0.011826544,0
12/1/2009,Wholesale & Retail Trade,407.2,3723,1.71,43.7,1.8,6.3,0.015714642,0
12/1/2009,Transportation and Storage,194,4094,2.51,45.6,2.7,0.4,0.002066116,0
12/1/2009,Accomodation and Food Services,180.7,1501,1.11,40.9,1.1,6.6,0.037909248,0
12/1/2009,Information and Communications,87.7,5458,2.26,41.7,0.5,1,0.011534025,0
12/1/2009,Financial and Insurance Services,164,6803,2.98,41.8,0.6,4,0.025,0
12/1/2009,Real Estate Services,72.5,3416,1.62,44.4,1.8,0.6,0.008344924,0
12/1/2009,Professional Services,172.2,5423,1.79,42.8,1.4,1.3,0.007606788,0
12/1/2009,Administrative and Support Services,140.3,2418,1.02,47.9,4.9,3.6,0.02633504,0
12/1/2009,Community & Personal Services,623.2,4389,2.03,41.8,0.4,8,0.013003901,0
3/1/2010,Manufacturing,545.6,4644,2.6,50.5,7.1,3,0.005528935,0
3/1/2010,Construction,384.6,3409,1.5,52.3,7.3,-0.4,-0.001038961,0
3/1/2010,Wholesale & Retail Trade,409,3665,1.89,43.8,1.8,1.8,0.004420432,0
3/1/2010,Transportation and Storage,194.8,4080,2.39,45.7,2.9,0.8,0.004123711,0
3/1/2010,Accomodation and Food Services,180.5,1585,1.11,41,1.1,-0.2,-0.001106807,0
3/1/2010,Information and Communications,89.4,5173,2.31,41.7,0.5,1.7,0.019384265,0
3/1/2010,Financial and Insurance Services,169.5,9127,3.3,41.3,0.2,5.5,0.033536585,0
3/1/2010,Real Estate Services,77.6,3197,1.66,44.5,2,5.1,0.070344828,0
3/1/2010,Professional Services,174.9,5186,2.17,43,1.7,2.7,0.015679443,0
3/1/2010,Administrative and Support Services,143.9,2663,1.09,48.7,5.4,3.6,0.025659301,0
3/1/2010,Community & Personal Services,635.5,4175,2.37,41.9,0.4,12.3,0.019736842,0
6/1/2010,Manufacturing,543.3,3797,2.6,50.7,7.5,-2.3,-0.004215543,0
6/1/2010,Construction,386.7,2920,1.5,52.6,7.6,2.1,0.005460218,0
6/1/2010,Wholesale & Retail Trade,410.8,3282,1.89,43.7,1.8,1.8,0.004400978,0
6/1/2010,Transportation and Storage,196.8,3643,2.39,45.8,2.9,2,0.01026694,0
6/1/2010,Accomodation and Food Services,182.3,1451,1.11,40.9,1.2,1.8,0.009972299,0
6/1/2010,Information and Communications,92,5488,2.31,41.6,0.6,2.6,0.029082774,0
6/1/2010,Financial and Insurance Services,172.7,7155,3.3,41.3,0.3,3.2,0.018879056,0
6/1/2010,Real Estate Services,78.1,2763,1.66,44.8,2.1,0.5,0.006443299,0
6/1/2010,Professional Services,178.3,4777,2.17,42.9,1.5,3.4,0.01943968,0
6/1/2010,Administrative and Support Services,148.5,2422,1.09,48.7,5.6,4.6,0.031966644,0
6/1/2010,Community & Personal Services,640.9,4008,2.37,41.9,0.5,5.4,0.008497246,0
9/1/2010,Manufacturing,542.6,3881,2.6,50.3,7.1,-0.7,-0.001288423,0
9/1/2010,Construction,386.7,2876,1.5,52.3,7.4,0,0,0
9/1/2010,Wholesale & Retail Trade,413.5,3318,1.89,44,2.1,2.7,0.006572541,0
9/1/2010,Transportation and Storage,198.3,3728,2.39,45.7,3,1.5,0.007621951,0
9/1/2010,Accomodation and Food Services,184.4,1443,1.11,41.6,1.5,2.1,0.011519473,0
9/1/2010,Information and Communications,94.3,5056,2.31,41.8,0.6,2.3,0.025,0
9/1/2010,Financial and Insurance Services,177.2,6868,3.3,41.7,0.3,4.5,0.026056746,0
9/1/2010,Real Estate Services,78.7,2838,1.66,44.7,2.1,0.6,0.007682458,0
9/1/2010,Professional Services,182.6,4716,2.17,43.3,1.8,4.3,0.024116657,0
9/1/2010,Administrative and Support Services,150.5,2380,1.09,48.6,5.1,2,0.013468013,0
9/1/2010,Community & Personal Services,642.2,3811,2.37,42,0.4,1.3,0.002028398,0
12/1/2010,Manufacturing,537.9,4731,2.6,50.4,7.2,-4.7,-0.008661998,0
12/1/2010,Construction,395.6,3248,1.5,52.5,7.6,8.9,0.023015257,0
12/1/2010,Wholesale & Retail Trade,393.7,3918,1.89,43.8,1.8,-19.8,-0.047883918,0
12/1/2010,Transportation and Storage,199.1,4362,2.39,45.6,2.9,0.8,0.004034291,0
12/1/2010,Accomodation and Food Services,192.8,1544,1.11,41.1,1.5,8.4,0.045553145,0
12/1/2010,Information and Communications,97.5,5633,2.31,41.5,0.3,3.2,0.033934252,0
12/1/2010,Financial and Insurance Services,172,7472,3.3,41.4,0.3,-5.2,-0.029345372,0
12/1/2010,Real Estate Services,80.3,3405,1.66,45,2.1,1.6,0.020330368,0
12/1/2010,Professional Services,182.8,5334,2.17,43,1.8,0.2,0.00109529,0
12/1/2010,Administrative and Support Services,185.3,2652,1.09,48.8,5.1,34.8,0.231229236,0
12/1/2010,Community & Personal Services,649.5,5176,2.37,42.1,0.5,7.3,0.011367175,0
3/1/2011,Manufacturing,538.1,4820,2.62,50.4,7,0.2,0.000371816,0
3/1/2011,Construction,397.1,3538,1.59,52.7,7.8,1.5,0.003791709,0
3/1/2011,Wholesale & Retail Trade,397.1,4175,2.19,43.5,1.6,3.4,0.008636017,0
3/1/2011,Transportation and Storage,200.7,4274,2.88,45.9,3.1,1.6,0.008036163,0
3/1/2011,Accomodation and Food Services,193,1622,1.2,41.1,1.4,0.2,0.001037344,0
3/1/2011,Information and Communications,100,5961,2.39,41.3,0.3,2.5,0.025641026,0
3/1/2011,Financial and Insurance Services,174.9,10104,3.35,41.3,0.2,2.9,0.016860465,0
3/1/2011,Real Estate Services,81.2,3451,2.08,45.1,2.1,0.9,0.01120797,0
3/1/2011,Professional Services,187.1,5875,2.29,42.9,1.7,4.3,0.023522976,0
3/1/2011,Administrative and Support Services,186.8,2133,1.05,48.6,5.3,1.5,0.008094981,0
3/1/2011,Community & Personal Services,658.5,4716,2.46,42.1,0.5,9,0.013856813,0
6/1/2011,Manufacturing,538.9,3987,2.62,50.2,7,0.8,0.001486713,0
6/1/2011,Construction,400.7,2909,1.59,53,7.9,3.6,0.009065727,0
6/1/2011,Wholesale & Retail Trade,400.1,3750,2.19,43.7,1.7,3,0.007554772,0
6/1/2011,Transportation and Storage,203.6,3856,2.88,46.1,3.3,2.9,0.014449427,0
6/1/2011,Accomodation and Food Services,193.5,1462,1.2,41.3,1.5,0.5,0.002590674,0
6/1/2011,Information and Communications,102.5,5920,2.39,41.6,0.5,2.5,0.025,0
6/1/2011,Financial and Insurance Services,177.4,7623,3.35,41.2,0.2,2.5,0.014293882,0
6/1/2011,Real Estate Services,81.4,2853,2.08,44.9,2.3,0.2,0.002463054,0
6/1/2011,Professional Services,188.5,5508,2.29,42.9,1.7,1.4,0.00748263,0
6/1/2011,Administrative and Support Services,191.4,2075,1.05,49.1,5.7,4.6,0.024625268,0
6/1/2011,Community & Personal Services,661,4104,2.46,42,0.5,2.5,0.003796507,0
9/1/2011,Manufacturing,542.6,3934,2.62,50.2,7,3.7,0.006865838,0
9/1/2011,Construction,407.5,2949,1.59,52.8,8,6.8,0.016970302,0
9/1/2011,Wholesale & Retail Trade,403.8,3706,2.19,43.6,1.8,3.7,0.009247688,0
9/1/2011,Transportation and Storage,205.4,4092,2.88,46.3,3.3,1.8,0.008840864,0
9/1/2011,Accomodation and Food Services,196.9,1471,1.2,41.9,1.7,3.4,0.017571059,0
9/1/2011,Information and Communications,104.4,5561,2.39,41.5,0.6,1.9,0.018536585,0
9/1/2011,Financial and Insurance Services,180.2,7337,3.35,41.2,0.3,2.8,0.01578354,0
9/1/2011,Real Estate Services,81.8,2824,2.08,44.3,2,0.4,0.004914005,0
9/1/2011,Professional Services,191.4,5438,2.29,43.5,1.9,2.9,0.015384615,0
9/1/2011,Administrative and Support Services,191.4,2069,1.05,48.4,5.2,0,0,0
9/1/2011,Community & Personal Services,665.4,3846,2.46,42.1,0.5,4.4,0.006656581,0
12/1/2011,Manufacturing,523.5,4810,2.62,49.9,6.8,-19.1,-0.035200885,0
12/1/2011,Construction,402.7,3322,1.59,52.6,7.7,-4.8,-0.011779141,0
12/1/2011,Wholesale & Retail Trade,456.5,4429,2.19,44,1.9,52.7,0.130510154,0
12/1/2011,Transportation and Storage,209.1,4611,2.88,46.4,3.6,3.7,0.018013632,0
12/1/2011,Accomodation and Food Services,209.1,1590,1.2,42,1.5,12.2,0.061960386,0
